    0.0000,    0.2511,    0.0666
    1.0000,    0.4434,    0.0484
    2.0000,    0.6356,    0.0351
    3.0000,    0.8279,    0.0255
    4.0000,    1.0201,    0.0185
    5.0000,    1.2124,    0.0134
    6.0000,    1.4046,    0.0097
    7.0000,    1.5969,    0.0071
    8.0000,    1.7891,    0.0051
    9.0000,    1.9814,    0.0037
   10.0000,    2.1736,    0.0027
   11.0000,    2.3659,    0.0020
   12.0000,    2.5581,    0.0014
   13.0000,    2.7504,    0.0010
   14.0000,    2.9426,    0.0008
   15.0000,    3.1349,    0.0005
   16.0000,    3.3271,    0.0004
   17.0000,    3.5194,    0.0003
   18.0000,    3.7116,    0.0002
   19.0000,    3.9039,    0.0002
