middlePos	receiverPos	error 높이
[ 5.  5.]	[ 5.  5.]	50.0
[ 5.  5.]	[ 5.  5.]	50.0
[  5.  15.]	[ 5.  5.]	100.0
[  5.  15.]	[ 5.  5.]	100.0
[ 15.   5.]	[ 5.  5.]	100.0
[ 15.   5.]	[ 5.  5.]	100.0
[ 5.  5.]	[  5.  25.]	150.0
[ 5.  5.]	[  5.  25.]	150.0
[ 5.  5.]	[ 25.   5.]	150.0
[  5.  25.]	[ 5.  5.]	150.0
[  5.  25.]	[ 5.  5.]	150.0
[ 15.  15.]	[ 5.  5.]	150.0
[ 15.  15.]	[ 5.  5.]	150.0
[ 25.   5.]	[ 5.  5.]	150.0
[ 25.   5.]	[ 5.  5.]	150.0
[  5.  15.]	[ 25.   5.]	200.0
[  5.  35.]	[ 5.  5.]	200.0
[  5.  35.]	[ 5.  5.]	200.0
[ 15.   5.]	[  5.  25.]	200.0
[ 15.   5.]	[  5.  25.]	200.0
[ 15.  25.]	[ 5.  5.]	200.0
[ 15.  25.]	[ 5.  5.]	200.0
[ 25.  15.]	[ 5.  5.]	200.0
[ 25.  15.]	[ 5.  5.]	200.0
[ 35.   5.]	[ 5.  5.]	200.0
[ 35.   5.]	[ 5.  5.]	200.0
[ 5.  5.]	[ 25.  25.]	250.0
[  5.  25.]	[ 25.   5.]	250.0
[  5.  45.]	[ 5.  5.]	250.0
[  5.  45.]	[ 5.  5.]	250.0
[ 15.  35.]	[ 5.  5.]	250.0
[ 15.  35.]	[ 5.  5.]	250.0
[ 25.   5.]	[  5.  25.]	250.0
[ 25.   5.]	[  5.  25.]	250.0
[ 25.  25.]	[ 5.  5.]	250.0
[ 25.  25.]	[ 5.  5.]	250.0
[ 35.  15.]	[ 5.  5.]	250.0
[ 35.  15.]	[ 5.  5.]	250.0
[ 45.   5.]	[ 5.  5.]	250.0
[ 45.   5.]	[ 5.  5.]	250.0
[  5.  35.]	[ 25.   5.]	300.0
[  5.  55.]	[ 5.  5.]	300.0
[  5.  55.]	[ 5.  5.]	300.0
[ 15.  45.]	[ 5.  5.]	300.0
[ 15.  45.]	[ 5.  5.]	300.0
[ 25.  35.]	[ 5.  5.]	300.0
[ 25.  35.]	[ 5.  5.]	300.0
[ 35.   5.]	[  5.  25.]	300.0
[ 35.   5.]	[  5.  25.]	300.0
[ 35.  25.]	[ 5.  5.]	300.0
[ 35.  25.]	[ 5.  5.]	300.0
[ 45.  15.]	[ 5.  5.]	300.0
[ 45.  15.]	[ 5.  5.]	300.0
[ 55.   5.]	[ 5.  5.]	300.0
[ 55.   5.]	[ 5.  5.]	300.0
[  5.  45.]	[ 25.   5.]	350.0
[  5.  65.]	[ 5.  5.]	350.0
[  5.  65.]	[ 5.  5.]	350.0
[ 15.  55.]	[ 5.  5.]	350.0
[ 15.  55.]	[ 5.  5.]	350.0
[ 25.  45.]	[ 5.  5.]	350.0
[ 25.  45.]	[ 5.  5.]	350.0
[ 35.  35.]	[ 5.  5.]	350.0
[ 35.  35.]	[ 5.  5.]	350.0
[ 45.   5.]	[  5.  25.]	350.0
[ 45.   5.]	[  5.  25.]	350.0
[ 45.  25.]	[ 5.  5.]	350.0
[ 45.  25.]	[ 5.  5.]	350.0
[ 55.  15.]	[ 5.  5.]	350.0
[ 55.  15.]	[ 5.  5.]	350.0
[ 65.   5.]	[ 5.  5.]	350.0
[ 65.   5.]	[ 5.  5.]	350.0
[  5.  15.]	[  5.  25.]	400.0
[  5.  15.]	[  5.  25.]	400.0
[  5.  55.]	[ 25.   5.]	400.0
[  5.  75.]	[ 5.  5.]	400.0
[  5.  75.]	[ 5.  5.]	400.0
[ 15.   5.]	[ 25.   5.]	400.0
[ 15.  65.]	[ 5.  5.]	400.0
[ 15.  65.]	[ 5.  5.]	400.0
[ 25.  55.]	[ 5.  5.]	400.0
[ 25.  55.]	[ 5.  5.]	400.0
[ 35.  45.]	[ 5.  5.]	400.0
[ 35.  45.]	[ 5.  5.]	400.0
[ 45.  35.]	[ 5.  5.]	400.0
[ 45.  35.]	[ 5.  5.]	400.0
[ 55.   5.]	[  5.  25.]	400.0
[ 55.   5.]	[  5.  25.]	400.0
[ 55.  25.]	[ 5.  5.]	400.0
[ 55.  25.]	[ 5.  5.]	400.0
[ 65.  15.]	[ 5.  5.]	400.0
[ 65.  15.]	[ 5.  5.]	400.0
[ 75.   5.]	[ 5.  5.]	400.0
[ 75.   5.]	[ 5.  5.]	400.0
[  5.  65.]	[ 25.   5.]	450.0
[  5.  85.]	[ 5.  5.]	450.0
[  5.  85.]	[ 5.  5.]	450.0
[ 15.  15.]	[  5.  25.]	450.0
[ 15.  15.]	[  5.  25.]	450.0
[ 15.  15.]	[ 25.   5.]	450.0
[ 15.  75.]	[ 5.  5.]	450.0
[ 15.  75.]	[ 5.  5.]	450.0
[ 25.  65.]	[ 5.  5.]	450.0
[ 25.  65.]	[ 5.  5.]	450.0
[ 35.  55.]	[ 5.  5.]	450.0
[ 35.  55.]	[ 5.  5.]	450.0
[ 45.  45.]	[ 5.  5.]	450.0
[ 45.  45.]	[ 5.  5.]	450.0
[ 55.  35.]	[ 5.  5.]	450.0
[ 55.  35.]	[ 5.  5.]	450.0
[ 65.   5.]	[  5.  25.]	450.0
[ 65.   5.]	[  5.  25.]	450.0
[ 65.  25.]	[ 5.  5.]	450.0
[ 65.  25.]	[ 5.  5.]	450.0
[ 75.  15.]	[ 5.  5.]	450.0
[ 75.  15.]	[ 5.  5.]	450.0
[ 85.   5.]	[ 5.  5.]	450.0
[ 85.   5.]	[ 5.  5.]	450.0
[  5.  15.]	[ 25.  25.]	500.0
[  5.  75.]	[ 25.   5.]	500.0
[  5.  95.]	[ 5.  5.]	500.0
[  5.  95.]	[ 5.  5.]	500.0
[ 15.   5.]	[ 25.  25.]	500.0
[ 15.  25.]	[ 25.   5.]	500.0
[ 15.  85.]	[ 5.  5.]	500.0
[ 15.  85.]	[ 5.  5.]	500.0
[ 25.  15.]	[  5.  25.]	500.0
[ 25.  15.]	[  5.  25.]	500.0
[ 25.  75.]	[ 5.  5.]	500.0
[ 25.  75.]	[ 5.  5.]	500.0
[ 35.  65.]	[ 5.  5.]	500.0
[ 35.  65.]	[ 5.  5.]	500.0
[ 45.  55.]	[ 5.  5.]	500.0
[ 45.  55.]	[ 5.  5.]	500.0
[ 55.  45.]	[ 5.  5.]	500.0
[ 55.  45.]	[ 5.  5.]	500.0
[ 65.  35.]	[ 5.  5.]	500.0
[ 65.  35.]	[ 5.  5.]	500.0
[ 75.   5.]	[  5.  25.]	500.0
[ 75.   5.]	[  5.  25.]	500.0
[ 75.  25.]	[ 5.  5.]	500.0
[ 75.  25.]	[ 5.  5.]	500.0
[ 85.  15.]	[ 5.  5.]	500.0
[ 85.  15.]	[ 5.  5.]	500.0
[ 95.   5.]	[ 5.  5.]	500.0
[ 95.   5.]	[ 5.  5.]	500.0
[  5.  85.]	[ 25.   5.]	550.0
[   5.  105.]	[ 5.  5.]	550.0
[   5.  105.]	[ 5.  5.]	550.0
[ 15.  35.]	[ 25.   5.]	550.0
[ 15.  95.]	[ 5.  5.]	550.0
[ 15.  95.]	[ 5.  5.]	550.0
[ 25.  85.]	[ 5.  5.]	550.0
[ 25.  85.]	[ 5.  5.]	550.0
[ 35.  15.]	[  5.  25.]	550.0
[ 35.  15.]	[  5.  25.]	550.0
[ 35.  75.]	[ 5.  5.]	550.0
[ 35.  75.]	[ 5.  5.]	550.0
[ 45.  65.]	[ 5.  5.]	550.0
[ 45.  65.]	[ 5.  5.]	550.0
[ 55.  55.]	[ 5.  5.]	550.0
[ 55.  55.]	[ 5.  5.]	550.0
[ 65.  45.]	[ 5.  5.]	550.0
[ 65.  45.]	[ 5.  5.]	550.0
[ 75.  35.]	[ 5.  5.]	550.0
[ 75.  35.]	[ 5.  5.]	550.0
[ 85.   5.]	[  5.  25.]	550.0
[ 85.   5.]	[  5.  25.]	550.0
[ 85.  25.]	[ 5.  5.]	550.0
[ 85.  25.]	[ 5.  5.]	550.0
[ 95.  15.]	[ 5.  5.]	550.0
[ 95.  15.]	[ 5.  5.]	550.0
[ 105.    5.]	[ 5.  5.]	550.0
[ 105.    5.]	[ 5.  5.]	550.0
[  5.  95.]	[ 25.   5.]	600.0
[   5.  115.]	[ 5.  5.]	600.0
[   5.  115.]	[ 5.  5.]	600.0
[ 15.  45.]	[ 25.   5.]	600.0
[  15.  105.]	[ 5.  5.]	600.0
[  15.  105.]	[ 5.  5.]	600.0
[ 25.  95.]	[ 5.  5.]	600.0
[ 25.  95.]	[ 5.  5.]	600.0
[ 35.  85.]	[ 5.  5.]	600.0
[ 35.  85.]	[ 5.  5.]	600.0
[ 45.  15.]	[  5.  25.]	600.0
[ 45.  15.]	[  5.  25.]	600.0
[ 45.  75.]	[ 5.  5.]	600.0
[ 45.  75.]	[ 5.  5.]	600.0
[ 55.  65.]	[ 5.  5.]	600.0
[ 55.  65.]	[ 5.  5.]	600.0
[ 65.  55.]	[ 5.  5.]	600.0
[ 65.  55.]	[ 5.  5.]	600.0
[ 75.  45.]	[ 5.  5.]	600.0
[ 75.  45.]	[ 5.  5.]	600.0
[ 85.  35.]	[ 5.  5.]	600.0
[ 85.  35.]	[ 5.  5.]	600.0
[ 95.   5.]	[  5.  25.]	600.0
[ 95.   5.]	[  5.  25.]	600.0
[ 95.  25.]	[ 5.  5.]	600.0
[ 95.  25.]	[ 5.  5.]	600.0
[ 105.   15.]	[ 5.  5.]	600.0
[ 105.   15.]	[ 5.  5.]	600.0
[ 115.    5.]	[ 5.  5.]	600.0
[ 115.    5.]	[ 5.  5.]	600.0
[ 5.  5.]	[   5.  125.]	650.0
[ 5.  5.]	[   5.  125.]	650.0
[ 5.  5.]	[ 125.    5.]	650.0
[  5.  25.]	[  5.  25.]	650.0
[  5.  25.]	[  5.  25.]	650.0
[   5.  105.]	[ 25.   5.]	650.0
[   5.  125.]	[ 5.  5.]	650.0
[   5.  125.]	[ 5.  5.]	650.0
[ 15.  55.]	[ 25.   5.]	650.0
[  15.  115.]	[ 5.  5.]	650.0
[  15.  115.]	[ 5.  5.]	650.0
[ 25.   5.]	[ 25.   5.]	650.0
[  25.  105.]	[ 5.  5.]	650.0
[  25.  105.]	[ 5.  5.]	650.0
[ 35.  95.]	[ 5.  5.]	650.0
[ 35.  95.]	[ 5.  5.]	650.0
[ 45.  85.]	[ 5.  5.]	650.0
[ 45.  85.]	[ 5.  5.]	650.0
[ 55.  15.]	[  5.  25.]	650.0
[ 55.  15.]	[  5.  25.]	650.0
[ 55.  75.]	[ 5.  5.]	650.0
[ 55.  75.]	[ 5.  5.]	650.0
[ 65.  65.]	[ 5.  5.]	650.0
[ 65.  65.]	[ 5.  5.]	650.0
[ 75.  55.]	[ 5.  5.]	650.0
[ 75.  55.]	[ 5.  5.]	650.0
[ 85.  45.]	[ 5.  5.]	650.0
[ 85.  45.]	[ 5.  5.]	650.0
[ 95.  35.]	[ 5.  5.]	650.0
[ 95.  35.]	[ 5.  5.]	650.0
[ 105.    5.]	[  5.  25.]	650.0
[ 105.    5.]	[  5.  25.]	650.0
[ 105.   25.]	[ 5.  5.]	650.0
[ 105.   25.]	[ 5.  5.]	650.0
[ 115.   15.]	[ 5.  5.]	650.0
[ 115.   15.]	[ 5.  5.]	650.0
[ 125.    5.]	[ 5.  5.]	650.0
[ 125.    5.]	[ 5.  5.]	650.0
[  5.  15.]	[ 125.    5.]	700.0
[   5.  115.]	[ 25.   5.]	700.0
[   5.  135.]	[ 5.  5.]	700.0
[   5.  135.]	[ 5.  5.]	700.0
[ 15.   5.]	[   5.  125.]	700.0
[ 15.   5.]	[   5.  125.]	700.0
[ 15.  25.]	[  5.  25.]	700.0
[ 15.  25.]	[  5.  25.]	700.0
[ 15.  65.]	[ 25.   5.]	700.0
[  15.  125.]	[ 5.  5.]	700.0
[  15.  125.]	[ 5.  5.]	700.0
[ 25.  15.]	[ 25.   5.]	700.0
[  25.  115.]	[ 5.  5.]	700.0
[  25.  115.]	[ 5.  5.]	700.0
[  35.  105.]	[ 5.  5.]	700.0
[  35.  105.]	[ 5.  5.]	700.0
[ 45.  95.]	[ 5.  5.]	700.0
[ 45.  95.]	[ 5.  5.]	700.0
[ 55.  85.]	[ 5.  5.]	700.0
[ 55.  85.]	[ 5.  5.]	700.0
[ 65.  15.]	[  5.  25.]	700.0
[ 65.  15.]	[  5.  25.]	700.0
[ 65.  75.]	[ 5.  5.]	700.0
[ 65.  75.]	[ 5.  5.]	700.0
[ 75.  65.]	[ 5.  5.]	700.0
[ 75.  65.]	[ 5.  5.]	700.0
[ 85.  55.]	[ 5.  5.]	700.0
[ 85.  55.]	[ 5.  5.]	700.0
[ 95.  45.]	[ 5.  5.]	700.0
[ 95.  45.]	[ 5.  5.]	700.0
[ 105.   35.]	[ 5.  5.]	700.0
[ 105.   35.]	[ 5.  5.]	700.0
[ 115.    5.]	[  5.  25.]	700.0
[ 115.    5.]	[  5.  25.]	700.0
[ 115.   25.]	[ 5.  5.]	700.0
[ 115.   25.]	[ 5.  5.]	700.0
[ 125.   15.]	[ 5.  5.]	700.0
[ 125.   15.]	[ 5.  5.]	700.0
[ 135.    5.]	[ 5.  5.]	700.0
[ 135.    5.]	[ 5.  5.]	700.0
[ 5.  5.]	[  25.  125.]	750.0
[ 5.  5.]	[ 125.   25.]	750.0
[  5.  25.]	[ 25.  25.]	750.0
[  5.  25.]	[ 125.    5.]	750.0
[   5.  125.]	[ 25.   5.]	750.0
[   5.  145.]	[ 5.  5.]	750.0
[   5.  145.]	[ 5.  5.]	750.0
[ 15.  15.]	[ 25.  25.]	750.0
[ 15.  75.]	[ 25.   5.]	750.0
[  15.  135.]	[ 5.  5.]	750.0
[  15.  135.]	[ 5.  5.]	750.0
[ 25.   5.]	[   5.  125.]	750.0
[ 25.   5.]	[   5.  125.]	750.0
[ 25.   5.]	[ 25.  25.]	750.0
[ 25.  25.]	[  5.  25.]	750.0
[ 25.  25.]	[  5.  25.]	750.0
[ 25.  25.]	[ 25.   5.]	750.0
[  25.  125.]	[ 5.  5.]	750.0
[  25.  125.]	[ 5.  5.]	750.0
[  35.  115.]	[ 5.  5.]	750.0
[  35.  115.]	[ 5.  5.]	750.0
[  45.  105.]	[ 5.  5.]	750.0
[  45.  105.]	[ 5.  5.]	750.0
[ 55.  95.]	[ 5.  5.]	750.0
[ 55.  95.]	[ 5.  5.]	750.0
[ 65.  85.]	[ 5.  5.]	750.0
[ 65.  85.]	[ 5.  5.]	750.0
[ 75.  15.]	[  5.  25.]	750.0
[ 75.  15.]	[  5.  25.]	750.0
[ 75.  75.]	[ 5.  5.]	750.0
[ 75.  75.]	[ 5.  5.]	750.0
[ 85.  65.]	[ 5.  5.]	750.0
[ 85.  65.]	[ 5.  5.]	750.0
[ 95.  55.]	[ 5.  5.]	750.0
[ 95.  55.]	[ 5.  5.]	750.0
[ 105.   45.]	[ 5.  5.]	750.0
[ 105.   45.]	[ 5.  5.]	750.0
[ 115.   35.]	[ 5.  5.]	750.0
[ 115.   35.]	[ 5.  5.]	750.0
[ 125.    5.]	[  5.  25.]	750.0
[ 125.    5.]	[  5.  25.]	750.0
[ 125.   25.]	[ 5.  5.]	750.0
[ 125.   25.]	[ 5.  5.]	750.0
[ 135.   15.]	[ 5.  5.]	750.0
[ 135.   15.]	[ 5.  5.]	750.0
[ 145.    5.]	[ 5.  5.]	750.0
[ 145.    5.]	[ 5.  5.]	750.0
[  5.  35.]	[ 125.    5.]	800.0
[   5.  135.]	[ 25.   5.]	800.0
[   5.  155.]	[ 5.  5.]	800.0
[   5.  155.]	[ 5.  5.]	800.0
[ 15.  85.]	[ 25.   5.]	800.0
[  15.  145.]	[ 5.  5.]	800.0
[  15.  145.]	[ 5.  5.]	800.0
[ 25.  35.]	[ 25.   5.]	800.0
[  25.  135.]	[ 5.  5.]	800.0
[  25.  135.]	[ 5.  5.]	800.0
[ 35.   5.]	[   5.  125.]	800.0
[ 35.   5.]	[   5.  125.]	800.0
[ 35.  25.]	[  5.  25.]	800.0
[ 35.  25.]	[  5.  25.]	800.0
[  35.  125.]	[ 5.  5.]	800.0
[  35.  125.]	[ 5.  5.]	800.0
[  45.  115.]	[ 5.  5.]	800.0
[  45.  115.]	[ 5.  5.]	800.0
[  55.  105.]	[ 5.  5.]	800.0
[  55.  105.]	[ 5.  5.]	800.0
[ 65.  95.]	[ 5.  5.]	800.0
[ 65.  95.]	[ 5.  5.]	800.0
[ 75.  85.]	[ 5.  5.]	800.0
[ 75.  85.]	[ 5.  5.]	800.0
[ 85.  15.]	[  5.  25.]	800.0
[ 85.  15.]	[  5.  25.]	800.0
[ 85.  75.]	[ 5.  5.]	800.0
[ 85.  75.]	[ 5.  5.]	800.0
[ 95.  65.]	[ 5.  5.]	800.0
[ 95.  65.]	[ 5.  5.]	800.0
[ 105.   55.]	[ 5.  5.]	800.0
[ 105.   55.]	[ 5.  5.]	800.0
[ 115.   45.]	[ 5.  5.]	800.0
[ 115.   45.]	[ 5.  5.]	800.0
[ 125.   35.]	[ 5.  5.]	800.0
[ 125.   35.]	[ 5.  5.]	800.0
[ 135.    5.]	[  5.  25.]	800.0
[ 135.    5.]	[  5.  25.]	800.0
[ 135.   25.]	[ 5.  5.]	800.0
[ 135.   25.]	[ 5.  5.]	800.0
[ 145.   15.]	[ 5.  5.]	800.0
[ 145.   15.]	[ 5.  5.]	800.0
[ 155.    5.]	[ 5.  5.]	800.0
[ 155.    5.]	[ 5.  5.]	800.0
[  5.  45.]	[ 125.    5.]	850.0
[   5.  145.]	[ 25.   5.]	850.0
[   5.  165.]	[ 5.  5.]	850.0
[   5.  165.]	[ 5.  5.]	850.0
[ 15.  95.]	[ 25.   5.]	850.0
[  15.  155.]	[ 5.  5.]	850.0
[  15.  155.]	[ 5.  5.]	850.0
[ 25.  45.]	[ 25.   5.]	850.0
[  25.  145.]	[ 5.  5.]	850.0
[  25.  145.]	[ 5.  5.]	850.0
[  35.  135.]	[ 5.  5.]	850.0
[  35.  135.]	[ 5.  5.]	850.0
[ 45.   5.]	[   5.  125.]	850.0
[ 45.   5.]	[   5.  125.]	850.0
[ 45.  25.]	[  5.  25.]	850.0
[ 45.  25.]	[  5.  25.]	850.0
[  45.  125.]	[ 5.  5.]	850.0
[  45.  125.]	[ 5.  5.]	850.0
[  55.  115.]	[ 5.  5.]	850.0
[  55.  115.]	[ 5.  5.]	850.0
[  65.  105.]	[ 5.  5.]	850.0
[  65.  105.]	[ 5.  5.]	850.0
[ 75.  95.]	[ 5.  5.]	850.0
[ 75.  95.]	[ 5.  5.]	850.0
[ 85.  85.]	[ 5.  5.]	850.0
[ 85.  85.]	[ 5.  5.]	850.0
[ 95.  15.]	[  5.  25.]	850.0
[ 95.  15.]	[  5.  25.]	850.0
[ 95.  75.]	[ 5.  5.]	850.0
[ 95.  75.]	[ 5.  5.]	850.0
[ 105.   65.]	[ 5.  5.]	850.0
[ 105.   65.]	[ 5.  5.]	850.0
[ 115.   55.]	[ 5.  5.]	850.0
[ 115.   55.]	[ 5.  5.]	850.0
[ 125.   45.]	[ 5.  5.]	850.0
[ 125.   45.]	[ 5.  5.]	850.0
[ 135.   35.]	[ 5.  5.]	850.0
[ 135.   35.]	[ 5.  5.]	850.0
[ 145.    5.]	[  5.  25.]	850.0
[ 145.    5.]	[  5.  25.]	850.0
[ 145.   25.]	[ 5.  5.]	850.0
[ 145.   25.]	[ 5.  5.]	850.0
[ 155.   15.]	[ 5.  5.]	850.0
[ 155.   15.]	[ 5.  5.]	850.0
[ 165.    5.]	[ 5.  5.]	850.0
[ 165.    5.]	[ 5.  5.]	850.0
[  5.  35.]	[  5.  25.]	900.0
[  5.  35.]	[  5.  25.]	900.0
[  5.  55.]	[ 125.    5.]	900.0
[   5.  155.]	[ 25.   5.]	900.0
[   5.  175.]	[ 5.  5.]	900.0
[   5.  175.]	[ 5.  5.]	900.0
[  15.  105.]	[ 25.   5.]	900.0
[  15.  165.]	[ 5.  5.]	900.0
[  15.  165.]	[ 5.  5.]	900.0
[ 25.  55.]	[ 25.   5.]	900.0
[  25.  155.]	[ 5.  5.]	900.0
[  25.  155.]	[ 5.  5.]	900.0
[ 35.   5.]	[ 25.   5.]	900.0
[  35.  145.]	[ 5.  5.]	900.0
[  35.  145.]	[ 5.  5.]	900.0
[  45.  135.]	[ 5.  5.]	900.0
[  45.  135.]	[ 5.  5.]	900.0
[ 55.   5.]	[   5.  125.]	900.0
[ 55.   5.]	[   5.  125.]	900.0
[ 55.  25.]	[  5.  25.]	900.0
[ 55.  25.]	[  5.  25.]	900.0
[  55.  125.]	[ 5.  5.]	900.0
[  55.  125.]	[ 5.  5.]	900.0
[  65.  115.]	[ 5.  5.]	900.0
[  65.  115.]	[ 5.  5.]	900.0
[  75.  105.]	[ 5.  5.]	900.0
[  75.  105.]	[ 5.  5.]	900.0
[ 85.  95.]	[ 5.  5.]	900.0
[ 85.  95.]	[ 5.  5.]	900.0
[ 95.  85.]	[ 5.  5.]	900.0
[ 95.  85.]	[ 5.  5.]	900.0
[ 105.   15.]	[  5.  25.]	900.0
[ 105.   15.]	[  5.  25.]	900.0
[ 105.   75.]	[ 5.  5.]	900.0
[ 105.   75.]	[ 5.  5.]	900.0
[ 115.   65.]	[ 5.  5.]	900.0
[ 115.   65.]	[ 5.  5.]	900.0
[ 125.   55.]	[ 5.  5.]	900.0
[ 125.   55.]	[ 5.  5.]	900.0
[ 135.   45.]	[ 5.  5.]	900.0
[ 135.   45.]	[ 5.  5.]	900.0
[ 145.   35.]	[ 5.  5.]	900.0
[ 145.   35.]	[ 5.  5.]	900.0
[ 155.    5.]	[  5.  25.]	900.0
[ 155.    5.]	[  5.  25.]	900.0
[ 155.   25.]	[ 5.  5.]	900.0
[ 155.   25.]	[ 5.  5.]	900.0
[ 165.   15.]	[ 5.  5.]	900.0
[ 165.   15.]	[ 5.  5.]	900.0
[ 175.    5.]	[ 5.  5.]	900.0
[ 175.    5.]	[ 5.  5.]	900.0
[  5.  65.]	[ 125.    5.]	950.0
[   5.  165.]	[ 25.   5.]	950.0
[   5.  185.]	[ 5.  5.]	950.0
[   5.  185.]	[ 5.  5.]	950.0
[ 15.  35.]	[  5.  25.]	950.0
[ 15.  35.]	[  5.  25.]	950.0
[  15.  115.]	[ 25.   5.]	950.0
[  15.  175.]	[ 5.  5.]	950.0
[  15.  175.]	[ 5.  5.]	950.0
[ 25.  65.]	[ 25.   5.]	950.0
[  25.  165.]	[ 5.  5.]	950.0
[  25.  165.]	[ 5.  5.]	950.0
[ 35.  15.]	[ 25.   5.]	950.0
[  35.  155.]	[ 5.  5.]	950.0
[  35.  155.]	[ 5.  5.]	950.0
[  45.  145.]	[ 5.  5.]	950.0
[  45.  145.]	[ 5.  5.]	950.0
[  55.  135.]	[ 5.  5.]	950.0
[  55.  135.]	[ 5.  5.]	950.0
[ 65.   5.]	[   5.  125.]	950.0
[ 65.   5.]	[   5.  125.]	950.0
[ 65.  25.]	[  5.  25.]	950.0
[ 65.  25.]	[  5.  25.]	950.0
[  65.  125.]	[ 5.  5.]	950.0
[  65.  125.]	[ 5.  5.]	950.0
[  75.  115.]	[ 5.  5.]	950.0
[  75.  115.]	[ 5.  5.]	950.0
[  85.  105.]	[ 5.  5.]	950.0
[  85.  105.]	[ 5.  5.]	950.0
[ 95.  95.]	[ 5.  5.]	950.0
[ 95.  95.]	[ 5.  5.]	950.0
[ 105.   85.]	[ 5.  5.]	950.0
[ 105.   85.]	[ 5.  5.]	950.0
[ 115.   15.]	[  5.  25.]	950.0
[ 115.   15.]	[  5.  25.]	950.0
[ 115.   75.]	[ 5.  5.]	950.0
[ 115.   75.]	[ 5.  5.]	950.0
[ 125.   65.]	[ 5.  5.]	950.0
[ 125.   65.]	[ 5.  5.]	950.0
[ 135.   55.]	[ 5.  5.]	950.0
[ 135.   55.]	[ 5.  5.]	950.0
[ 145.   45.]	[ 5.  5.]	950.0
[ 145.   45.]	[ 5.  5.]	950.0
[ 155.   35.]	[ 5.  5.]	950.0
[ 155.   35.]	[ 5.  5.]	950.0
[ 165.    5.]	[  5.  25.]	950.0
[ 165.    5.]	[  5.  25.]	950.0
[ 165.   25.]	[ 5.  5.]	950.0
[ 165.   25.]	[ 5.  5.]	950.0
[ 175.   15.]	[ 5.  5.]	950.0
[ 175.   15.]	[ 5.  5.]	950.0
[ 185.    5.]	[ 5.  5.]	950.0
[ 185.    5.]	[ 5.  5.]	950.0
[  5.  15.]	[ 125.   25.]	1000.0
[  5.  35.]	[ 25.  25.]	1000.0
[  5.  75.]	[ 125.    5.]	1000.0
[   5.  175.]	[ 25.   5.]	1000.0
[   5.  195.]	[ 5.  5.]	1000.0
[   5.  195.]	[ 5.  5.]	1000.0
[ 15.   5.]	[  25.  125.]	1000.0
[ 15.  25.]	[ 25.  25.]	1000.0
[  15.  125.]	[ 25.   5.]	1000.0
[  15.  185.]	[ 5.  5.]	1000.0
[  15.  185.]	[ 5.  5.]	1000.0
[ 25.  15.]	[ 25.  25.]	1000.0
[ 25.  35.]	[  5.  25.]	1000.0
[ 25.  35.]	[  5.  25.]	1000.0
[ 25.  75.]	[ 25.   5.]	1000.0
[  25.  175.]	[ 5.  5.]	1000.0
[  25.  175.]	[ 5.  5.]	1000.0
[ 35.   5.]	[ 25.  25.]	1000.0
[ 35.  25.]	[ 25.   5.]	1000.0
[  35.  165.]	[ 5.  5.]	1000.0
[  35.  165.]	[ 5.  5.]	1000.0
[  45.  155.]	[ 5.  5.]	1000.0
[  45.  155.]	[ 5.  5.]	1000.0
[  55.  145.]	[ 5.  5.]	1000.0
[  55.  145.]	[ 5.  5.]	1000.0
[  65.  135.]	[ 5.  5.]	1000.0
[  65.  135.]	[ 5.  5.]	1000.0
[ 75.   5.]	[   5.  125.]	1000.0
[ 75.   5.]	[   5.  125.]	1000.0
[ 75.  25.]	[  5.  25.]	1000.0
[ 75.  25.]	[  5.  25.]	1000.0
[  75.  125.]	[ 5.  5.]	1000.0
[  75.  125.]	[ 5.  5.]	1000.0
[  85.  115.]	[ 5.  5.]	1000.0
[  85.  115.]	[ 5.  5.]	1000.0
[  95.  105.]	[ 5.  5.]	1000.0
[  95.  105.]	[ 5.  5.]	1000.0
[ 105.   95.]	[ 5.  5.]	1000.0
[ 105.   95.]	[ 5.  5.]	1000.0
[ 115.   85.]	[ 5.  5.]	1000.0
[ 115.   85.]	[ 5.  5.]	1000.0
[ 125.   15.]	[  5.  25.]	1000.0
[ 125.   15.]	[  5.  25.]	1000.0
[ 125.   75.]	[ 5.  5.]	1000.0
[ 125.   75.]	[ 5.  5.]	1000.0
[ 135.   65.]	[ 5.  5.]	1000.0
[ 135.   65.]	[ 5.  5.]	1000.0
[ 145.   55.]	[ 5.  5.]	1000.0
[ 145.   55.]	[ 5.  5.]	1000.0
[ 155.   45.]	[ 5.  5.]	1000.0
[ 155.   45.]	[ 5.  5.]	1000.0
[ 165.   35.]	[ 5.  5.]	1000.0
[ 165.   35.]	[ 5.  5.]	1000.0
[ 175.    5.]	[  5.  25.]	1000.0
[ 175.    5.]	[  5.  25.]	1000.0
[ 175.   25.]	[ 5.  5.]	1000.0
[ 175.   25.]	[ 5.  5.]	1000.0
[ 185.   15.]	[ 5.  5.]	1000.0
[ 185.   15.]	[ 5.  5.]	1000.0
[ 195.    5.]	[ 5.  5.]	1000.0
[ 195.    5.]	[ 5.  5.]	1000.0
[  5.  85.]	[ 125.    5.]	1050.0
[   5.  185.]	[ 25.   5.]	1050.0
[  15.  135.]	[ 25.   5.]	1050.0
[  15.  195.]	[ 5.  5.]	1050.0
[  15.  195.]	[ 5.  5.]	1050.0
[ 25.  85.]	[ 25.   5.]	1050.0
[  25.  185.]	[ 5.  5.]	1050.0
