    0.0000,    0.2511,    0.0654
    1.0000,    0.4434,    0.0557
    2.0000,    0.6356,    0.0494
    3.0000,    0.8279,    0.0447
    4.0000,    1.0201,    0.0411
    5.0000,    1.2124,    0.0381
    6.0000,    1.4046,    0.0357
    7.0000,    1.5969,    0.0336
    8.0000,    1.7891,    0.0318
    9.0000,    1.9814,    0.0302
   10.0000,    2.1736,    0.0288
   11.0000,    2.3659,    0.0276
   12.0000,    2.5581,    0.0265
   13.0000,    2.7504,    0.0255
   14.0000,    2.9426,    0.0246
   15.0000,    3.1349,    0.0237
   16.0000,    3.3271,    0.0230
   17.0000,    3.5194,    0.0223
   18.0000,    3.7116,    0.0216
   19.0000,    3.9039,    0.0210
